seed,task_a,task_b,pair,method,scale,density,eval_task,loss,accuracy,f1,primary_score,specialist_score,retained_ratio,score_delta
123,imdb,rte,imdb+rte,task_arithmetic,0.75,,imdb,1.214582085609436,0.6545,0.7297614391865468,0.6545,0.7795,0.8396407953816549,-0.125
123,imdb,rte,imdb+rte,task_arithmetic,0.75,,rte,1.455521583557129,0.5234657039711191,0.6,0.5234657039711191,0.6064981949458483,0.8630952380952381,-0.0830324909747292
123,imdb,rte,imdb+rte,ties,1.0,0.2,imdb,1.094992995262146,0.74,0.765976597659766,0.74,0.7795,0.949326491340603,-0.03949999999999998
123,imdb,rte,imdb+rte,ties,1.0,0.2,rte,1.4073489904403687,0.5090252707581228,0.5244755244755245,0.5090252707581228,0.6064981949458483,0.8392857142857144,-0.09747292418772557
123,mrpc,rte,mrpc+rte,mean,1.0,,mrpc,1.189371943473816,0.6985294117647058,0.8193832599118943,0.8193832599118943,0.832520325203252,0.9842201266519824,-0.013137065291357719
123,mrpc,rte,mrpc+rte,mean,1.0,,rte,1.4219318628311157,0.51985559566787,0.6053412462908012,0.51985559566787,0.6064981949458483,0.8571428571428571,-0.08664259927797835
123,mrpc,rte,mrpc+rte,task_arithmetic,0.75,,mrpc,1.1501139402389526,0.7156862745098039,0.8273809523809523,0.8273809523809523,0.832520325203252,0.9938267299107142,-0.005139372822299704
123,mrpc,rte,mrpc+rte,task_arithmetic,0.75,,rte,1.471748948097229,0.4981949458483754,0.5947521865889213,0.4981949458483754,0.6064981949458483,0.8214285714285714,-0.10830324909747291
123,mrpc,rte,mrpc+rte,ties,1.0,0.2,mrpc,1.149639368057251,0.7205882352941176,0.8298507462686567,0.8298507462686567,0.832520325203252,0.9967933768656717,-0.002669578934595296
123,mrpc,rte,mrpc+rte,ties,1.0,0.2,rte,1.4372179508209229,0.5054151624548736,0.5594855305466238,0.5054151624548736,0.6064981949458483,0.8333333333333334,-0.10108303249097472
