task_a,task_b,pair,method,scale,density,eval_task,loss,accuracy,f1,primary_score,specialist_score,retained_ratio,score_delta
mrpc,rte,mrpc+rte,ties,0.75,0.1,mrpc,1.2475601434707642,0.7009803921568627,0.8189910979228486,0.8189910979228486,0.8349514563106796,0.9808846870471327,-0.015960358387830942
mrpc,rte,mrpc+rte,ties,0.75,0.1,rte,1.366275429725647,0.5126353790613718,0.5896656534954408,0.5126353790613718,0.6064981949458483,0.8452380952380952,-0.09386281588447654
mrpc,rte,mrpc+rte,ties,1.0,0.1,mrpc,1.2119596004486084,0.7107843137254902,0.8233532934131736,0.8233532934131736,0.8349514563106796,0.9861091769948476,-0.011598162897505926
mrpc,rte,mrpc+rte,ties,1.0,0.1,rte,1.3648474216461182,0.516245487364621,0.5838509316770186,0.516245487364621,0.6064981949458483,0.8511904761904763,-0.09025270758122739
mrpc,rte,mrpc+rte,ties,0.5,0.2,mrpc,1.248012661933899,0.696078431372549,0.8165680473372781,0.8165680473372781,0.8349514563106796,0.9779826613458098,-0.018383408973401516
mrpc,rte,mrpc+rte,ties,0.5,0.2,rte,1.36894953250885,0.5018050541516246,0.5792682926829268,0.5018050541516246,0.6064981949458483,0.8273809523809524,-0.10469314079422376
mrpc,rte,mrpc+rte,ties,0.75,0.2,mrpc,1.195950984954834,0.7181372549019608,0.8254931714719271,0.8254931714719271,0.8349514563106796,0.98867205420475,-0.00945828483875244
mrpc,rte,mrpc+rte,ties,0.75,0.2,rte,1.3679404258728027,0.5306859205776173,0.5806451612903226,0.5306859205776173,0.6064981949458483,0.875,-0.07581227436823101
mrpc,rte,mrpc+rte,ties,1.0,0.2,mrpc,1.1473714113235474,0.7401960784313726,0.8348909657320872,0.8348909657320872,0.8349514563106796,0.9999275519814533,-6.049057859236484e-05
mrpc,rte,mrpc+rte,ties,1.0,0.2,rte,1.3775293827056885,0.5523465703971119,0.5694444444444444,0.5523465703971119,0.6064981949458483,0.9107142857142857,-0.054151624548736454
mrpc,rte,mrpc+rte,ties,0.5,0.5,mrpc,1.209842324256897,0.7107843137254902,0.8233532934131736,0.8233532934131736,0.8349514563106796,0.9861091769948476,-0.011598162897505926
